id, location, age, rating, course_title, course_id, course_teacher, year_of_initiation
254, Kathmandu, 16, 4.3, Robotics and Automation, RA701, Dr. Shah, 2022
255, Biratnagar, 24, 4.6, Introduction to 5G Technology, 5GT801, Prof. Basnet, 2023
256, Lalitpur, 29, 4.1, Game Development Basics, GDB901, Dr. Tamang, 2021
257, Bhaktapur, 31, 4.7, Virtual Reality Fundamentals, VRF101, Prof. Thapa, 2022
258, Kathmandu, 20, 4.5, Cryptocurrency Fundamentals, CF201, Dr. Lama, 2023
259, Kathmandu, 22, 4.2, Network Security Principles, NSP301, Prof. Gurung, 2021
260, Pokhara, 37, 4.9, Augmented Reality Applications, ARA401, Dr. Thapa, 2022
261, Bhaktapur, 38, 4.4, Data Science Capstone Project, DSC501, Prof. Bhattarai, 2023
262, Biratnagar, 19, 4.7, Cloud-Native Architecture, CNA601, Dr. Subedi, 2021
263, Lalitpur, 23, 4.3, Database Management Systems, DBMS701, Prof. Gautam, 2022
264, Bhaktapur, 25, 4.8, Parallel Computing Concepts, PCC901, Dr. Khadka, 2023
265, Kathmandu, 37, 4.0, Introduction to Quantum Cryptography, QC101, Prof. Shrestha, 2021
266, Kathmandu, 38, 4.5, Artificial Intelligence for Healthcare, AIH201, Dr. Joshi, 2022
267, Pokhara, 18, 4.9, Data Privacy and Security, DPS301, Prof. Acharya, 2023
268, Bhaktapur, 26, 4.4, Cloud-Native Development, CND401, Dr. Shah, 2021
269, Biratnagar, 30, 4.7, Embedded Systems Design, ESD501, Prof. Basnet, 2022
270, Lalitpur, 35, 4.2, Quantum Machine Learning, QML601, Dr. Tamang, 2023
271, Bhaktapur, 32, 4.6, Human-Computer Interaction, HCI701, Prof. Thapa, 2021
272, Kathmandu, 22, 4.3, Cyber-Physical Systems, CPS901, Dr. Lama, 2022
273, Kathmandu, 18, 4.2, Introduction to Data Science, DS101, Dr. Lama, 2023
274, Kathmandu, 23, 4.5, Python Programming for Beginners, PY201, Prof. Gurung, 2022
275, Pokhara, 28, 4.7, Data Analysis with Python, DA301, Dr. Thapa, 2021
276, Nepalgunj, 32, 4.0, Machine Learning Applications, ML401, Prof. Bhattarai, 2022
277, Biratnagar, 24, 4.8, Web Development with JavaScript, WD501, Dr. Subedi, 2023
278, Lalitpur, 26, 4.6, Introduction to Cybersecurity, CS601, Prof. Gautam, 2021
279, Bhaktapur, 29, 4.3, Deep Learning Fundamentals, DL701, Dr. Khadka, 2022
280, Kathmandu, 17, 4.6, Artificial Intelligence Ethics, AI801, Prof. Shrestha, 2023
281, Kathmandu, 22, 4.1, Natural Language Processing, NLP901, Dr. Joshi, 2021
282, Pokhara, 30, 4.9, Computer Vision Basics, CV1001, Prof. Acharya, 2022
283, Bhaktapur, 35, 4.4, Introduction to Blockchain, BC101, Dr. Shah, 2023
284, Biratnagar, 19, 4.7, Introduction to Cloud Computing, CC201, Prof. Basnet, 2021
285, Lalitpur, 21, 4.5, Data Mining Techniques, DM301, Dr. Tamang, 2022
286, Bhaktapur, 27, 4.2, Internet of Things Fundamentals, IoT401, Prof. Thapa, 2023
287, Kathmandu, 36, 4.8, Software Engineering Principles, SE501, Dr. Lama, 2021
288, Kathmandu, 37, 4.3, Big Data Analytics, BDA601, Prof. Gurung, 2022
289, Pokhara, 31, 4.6, Cloud Security Fundamentals, CSF701, Dr. Thapa, 2023
290, Bhaktapur, 38, 4.0, DevOps Essentials, DO901, Prof. Bhattarai, 2021
291, Biratnagar, 33, 4.5, UX/UI Design Principles, UXD101, Dr. Subedi, 2022
292, Lalitpur, 20, 4.2, Agile Methodologies, AM201, Prof. Gautam, 2023
293, Bhaktapur, 25, 4.7, Data Warehousing Concepts, DWC301, Dr. Khadka, 2021
294, Kathmandu, 28, 4.9, Ethical Hacking Techniques, EHT401, Prof. Shrestha, 2022
295, Pokhara, 34, 4.4, Mobile App Development, MAD501, Dr. Joshi, 2023
296, Lalitpur, 39, 4.8, Quantum Computing Fundamentals, QCF601, Prof. Acharya, 2021
297, Kathmandu, 16, 4.3, Robotics and Automation, RA701, Dr. Shah, 2022
298, Biratnagar, 24, 4.6, Introduction to 5G Technology, 5GT801, Prof. Basnet, 2023
299, Lalitpur, 29, 4.1, Game Development Basics, GDB901, Dr. Tamang, 2021
300, Bhaktapur, 31, 4.7, Virtual Reality Fundamentals, VRF101, Prof. Thapa, 2022
301, Kathmandu, 20, 4.5, Cryptocurrency Fundamentals, CF201, Dr. Lama, 2023
302, Kathmandu, 22, 4.2, Network Security Principles, NSP301, Prof. Gurung, 2021
303, Pokhara, 37, 4.9, Augmented Reality Applications, ARA401, Dr. Thapa, 2022
304, Bhaktapur, 38, 4.4, Data Science Capstone Project, DSC501, Prof. Bhattarai, 2023
305, Biratnagar, 19, 4.7, Cloud-Native Architecture, CNA601, Dr. Subedi, 2021
306, Lalitpur, 23, 4.3, Database Management Systems, DBMS701, Prof. Gautam, 2022
307, Bhaktapur, 25, 4.8, Parallel Computing Concepts, PCC901, Dr. Khadka, 2023
308, Kathmandu, 37, 4.0, Introduction to Quantum Cryptography, QC101, Prof. Shrestha, 2021
309, Kathmandu, 38, 4.5, Artificial Intelligence for Healthcare, AIH201, Dr. Joshi, 2022
310, Pokhara, 18, 4.9, Data Privacy and Security, DPS301, Prof. Acharya, 2023
311, Bhaktapur, 26, 4.4, Cloud-Native Development, CND401, Dr. Shah, 2021
312, Biratnagar, 30, 4.7, Embedded Systems Design, ESD501, Prof. Basnet, 2022
313, Lalitpur, 35, 4.2, Quantum Machine Learning, QML601, Dr. Tamang, 2023
314, Bhaktapur, 32, 4.6, Human-Computer Interaction, HCI701, Prof. Thapa, 2021
315, Kathmandu, 22, 4.3, Cyber-Physical Systems, CPS901, Dr. Lama, 2022
316, Kathmandu, 18, 4.2, Introduction to Data Science, DS101, Dr. Lama, 2023
317, Kathmandu, 23, 4.5, Python Programming for Beginners, PY201, Prof. Gurung, 2022
318, Pokhara, 28, 4.7, Data Analysis with Python, DA301, Dr. Thapa, 2021
319, Nepalgunj, 32, 4.0, Machine Learning Applications, ML401, Prof. Bhattarai, 2022
320, Biratnagar, 24, 4.8, Web Development with JavaScript, WD501, Dr. Subedi, 2023
321, Lalitpur, 26, 4.6, Introduction to Cybersecurity, CS601, Prof. Gautam, 2021
322, Bhaktapur, 29, 4.3, Deep Learning Fundamentals, DL701, Dr. Khadka, 2022
323, Kathmandu, 17, 4.6, Artificial Intelligence Ethics, AI801, Prof. Shrestha, 2023
324, Kathmandu, 22, 4.1, Natural Language Processing, NLP901, Dr. Joshi, 2021
325, Pokhara, 30, 4.9, Computer Vision Basics, CV1001, Prof. Acharya, 2022
326, Bhaktapur, 35, 4.4, Introduction to Blockchain, BC101, Dr. Shah, 2023
327, Biratnagar, 19, 4.7, Introduction to Cloud Computing, CC201, Prof. Basnet, 2021
328, Lalitpur, 21, 4.5, Data Mining Techniques, DM301, Dr. Tamang, 2022
329, Bhaktapur, 27, 4.2, Internet of Things Fundamentals, IoT401, Prof. Thapa, 2023
330, Kathmandu, 36, 4.8, Software Engineering Principles, SE501, Dr. Lama, 2021
331, Kathmandu, 37, 4.3, Big Data Analytics, BDA601, Prof. Gurung, 2022
332, Pokhara, 31, 4.6, Cloud Security Fundamentals, CSF701, Dr. Thapa, 2023
333, Bhaktapur, 38, 4.0, DevOps Essentials, DO901, Prof. Bhattarai, 2021
334, Biratnagar, 33, 4.5, UX/UI Design Principles, UXD101, Dr. Subedi, 2022
335, Lalitpur, 20, 4.2, Agile Methodologies, AM201, Prof. Gautam, 2023
336, Bhaktapur, 25, 4.7, Data Warehousing Concepts, DWC301, Dr. Khadka, 2021
337, Kathmandu, 28, 4.9, Ethical Hacking Techniques, EHT401, Prof. Shrestha, 2022
338, Pokhara, 34, 4.4, Mobile App Development, MAD501, Dr. Joshi, 2023
339, Lalitpur, 39, 4.8, Quantum Computing Fundamentals, QCF601, Prof. Acharya, 2021
340, Kathmandu, 16, 4.3, Robotics and Automation, RA701, Dr. Shah, 2022
341, Biratnagar, 24, 4.6, Introduction to 5G Technology, 5GT801, Prof. Basnet, 2023
342, Lalitpur, 29, 4.1, Game Development Basics, GDB901, Dr. Tamang, 2021
343, Bhaktapur, 31, 4.7, Virtual Reality Fundamentals, VRF101, Prof. Thapa, 2022
344, Kathmandu, 20, 4.5, Cryptocurrency Fundamentals, CF201, Dr. Lama, 2023
345, Kathmandu, 22, 4.2, Network Security Principles, NSP301, Prof. Gurung, 2021
346, Pokhara, 37, 4.9, Augmented Reality Applications, ARA401, Dr. Thapa, 2022
347, Bhaktapur, 38, 4.4, Data Science Capstone Project, DSC501, Prof. Bhattarai, 2023
348, Biratnagar, 19, 4.7, Cloud-Native Architecture, CNA601, Dr. Subedi, 2021
349, Lalitpur, 23, 4.3, Database Management Systems, DBMS701, Prof. Gautam, 2022
350, Bhaktapur, 25, 4.8, Parallel Computing Concepts, PCC901, Dr. Khadka, 2023
351, Kathmandu, 37, 4.0, Introduction to Quantum Cryptography, QC101, Prof. Shrestha, 2021
352, Kathmandu, 38, 4.5, Artificial Intelligence for Healthcare, AIH201, Dr. Joshi, 2022
353, Pokhara, 18, 4.9, Data Privacy and Security, DPS301, Prof. Acharya, 2023
354, Bhaktapur, 26, 4.4, Cloud-Native Development, CND401, Dr. Shah, 2021
355, Biratnagar, 30, 4.7, Embedded Systems Design, ESD501, Prof. Basnet, 2022
356, Lalitpur, 35, 4.2, Quantum Machine Learning, QML601, Dr. Tamang, 2023
357, Bhaktapur, 32, 4.6, Human-Computer Interaction, HCI701, Prof. Thapa, 2021
358, Kathmandu, 22, 4.3, Cyber-Physical Systems, CPS901, Dr. Lama, 2022
359, Kathmandu, 18, 4.2, Introduction to Data Science, DS101, Dr. Lama, 2023
360, Kathmandu, 23, 4.5, Python Programming for Beginners, PY201, Prof. Gurung, 2022
361, Pokhara, 28, 4.7, Data Analysis with Python, DA301, Dr. Thapa, 2021
362, Nepalgunj, 32, 4.0, Machine Learning Applications, ML401, Prof. Bhattarai, 2022
363, Biratnagar, 24, 4.8, Web Development with JavaScript, WD501, Dr. Subedi, 2023
364, Lalitpur, 26, 4.6, Introduction to Cybersecurity, CS601, Prof. Gautam, 2021
365, Bhaktapur, 29, 4.3, Deep Learning Fundamentals, DL701, Dr. Khadka, 2022
366, Kathmandu, 17, 4.6, Artificial Intelligence Ethics, AI801, Prof. Shrestha, 2023
367, Kathmandu, 22, 4.1, Natural Language Processing, NLP901, Dr. Joshi, 2021
368, Pokhara, 30, 4.9, Computer Vision Basics, CV1001, Prof. Acharya, 2022
369, Bhaktapur, 35, 4.4, Introduction to Blockchain, BC101, Dr. Shah, 2023
370, Biratnagar, 19, 4.7, Introduction to Cloud Computing, CC201, Prof. Basnet, 2021
371, Lalitpur, 21, 4.5, Data Mining Techniques, DM301, Dr. Tamang, 2022
372, Bhaktapur, 27, 4.2, Internet of Things Fundamentals, IoT401, Prof. Thapa, 2023
373, Kathmandu, 36, 4.8, Software Engineering Principles, SE501, Dr. Lama, 2021
374, Kathmandu, 37, 4.3, Big Data Analytics, BDA601, Prof. Gurung, 2022
375, Pokhara, 31, 4.6, Cloud Security Fundamentals, CSF701, Dr. Thapa, 2023
376, Bhaktapur, 38, 4.0, DevOps Essentials, DO901, Prof. Bhattarai, 2021
377, Biratnagar, 33, 4.5, UX/UI Design Principles, UXD101, Dr. Subedi, 2022
378, Lalitpur, 20, 4.2, Agile Methodologies, AM201, Prof. Gautam, 2023
379, Bhaktapur, 25, 4.7, Data Warehousing Concepts, DWC301, Dr. Khadka, 2021
380, Kathmandu, 28, 4.9, Ethical Hacking Techniques, EHT401, Prof. Shrestha, 2022
381, Pokhara, 34, 4.4, Mobile App Development, MAD501, Dr. Joshi, 2023
382, Lalitpur, 39, 4.8, Quantum Computing Fundamentals, QCF601, Prof. Acharya, 2021
383, Kathmandu, 16, 4.3, Robotics and Automation, RA701, Dr. Shah, 2022
384, Biratnagar, 24, 4.6, Introduction to 5G Technology, 5GT801, Prof. Basnet, 2023
385, Lalitpur, 29, 4.1, Game Development Basics, GDB901, Dr. Tamang, 2021
386, Bhaktapur, 31, 4.7, Virtual Reality Fundamentals, VRF101, Prof. Thapa, 2022
387, Kathmandu, 20, 4.5, Cryptocurrency Fundamentals, CF201, Dr. Lama, 2023
388, Kathmandu, 22, 4.2, Network Security Principles, NSP301, Prof. Gurung, 2021
389, Pokhara, 37, 4.9, Augmented Reality Applications, ARA401, Dr. Thapa, 2022
390, Bhaktapur, 38, 4.4, Data Science Capstone Project, DSC501, Prof. Bhattarai, 2023
391, Biratnagar, 19, 4.7, Cloud-Native Architecture, CNA601, Dr. Subedi, 2021
392, Lalitpur, 23, 4.3, Database Management Systems, DBMS701, Prof. Gautam, 2022
393, Bhaktapur, 25, 4.8, Parallel Computing Concepts, PCC901, Dr. Khadka, 2023
394, Kathmandu, 37, 4.0, Introduction to Quantum Cryptography, QC101, Prof. Shrestha, 2021
395, Kathmandu, 38, 4.5, Artificial Intelligence for Healthcare, AIH201, Dr. Joshi, 2022
396, Pokhara, 18, 4.9, Data Privacy and Security, DPS301, Prof. Acharya, 2023
397, Bhaktapur, 26, 4.4, Cloud-Native Development, CND401, Dr. Shah, 2021
398, Biratnagar, 30, 4.7, Embedded Systems Design, ESD501, Prof. Basnet, 2022
399, Lalitpur, 35, 4.2, Quantum Machine Learning, QML601, Dr. Tamang, 2023
400, Bhaktapur, 32, 4.6, Human-Computer Interaction, HCI701, Prof. Thapa, 2021
401, Kathmandu, 22, 4.3, Cyber-Physical Systems, CPS901, Dr. Lama, 2022
402, Kathmandu, 18, 4.2, Introduction to Data Science, DS101, Dr. Lama, 2023
403, Kathmandu, 23, 4.5, Python Programming for Beginners, PY201, Prof. Gurung, 2022
404, Pokhara, 28, 4.7, Data Analysis with Python, DA301, Dr. Thapa, 2021
405, Nepalgunj, 32, 4.0, Machine Learning Applications, ML401, Prof. Bhattarai, 2022
406, Biratnagar, 24, 4.8, Web Development with JavaScript, WD501, Dr. Subedi, 2023
407, Lalitpur, 26, 4.6, Introduction to Cybersecurity, CS601, Prof. Gautam, 2021
408, Bhaktapur, 29, 4.3, Deep Learning Fundamentals, DL701, Dr. Khadka, 2022
409, Kathmandu, 17, 4.6, Artificial Intelligence Ethics, AI801, Prof. Shrestha, 2023
410, Kathmandu, 22, 4.1, Natural Language Processing, NLP901, Dr. Joshi, 2021
411, Pokhara, 30, 4.9, Computer Vision Basics, CV1001, Prof. Acharya, 2022
412, Bhaktapur, 35, 4.4, Introduction to Blockchain, BC101, Dr. Shah, 2023
413, Biratnagar, 19, 4.7, Introduction to Cloud Computing, CC201, Prof. Basnet, 2021
414, Lalitpur, 21, 4.5, Data Mining Techniques, DM301, Dr. Tamang, 2022
415, Bhaktapur, 27, 4.2, Internet of Things Fundamentals, IoT401, Prof. Thapa, 2023
416, Kathmandu, 36, 4.8, Software Engineering Principles, SE501, Dr. Lama, 2021
417, Kathmandu, 37, 4.3, Big Data Analytics, BDA601, Prof. Gurung, 2022
418, Pokhara, 31, 4.6, Cloud Security Fundamentals, CSF701, Dr. Thapa, 2023
419, Bhaktapur, 38, 4.0, DevOps Essentials, DO901, Prof. Bhattarai, 2021
420, Biratnagar, 33, 4.5, UX/UI Design Principles, UXD101, Dr. Subedi, 2022
421, Lalitpur, 20, 4.2, Agile Methodologies, AM201, Prof. Gautam, 2023
422, Bhaktapur, 25, 4.7, Data Warehousing Concepts, DWC301, Dr. Khadka, 2021
423, Kathmandu, 28, 4.9, Ethical Hacking Techniques, EHT401, Prof. Shrestha, 2022
424, Pokhara, 34, 4.4, Mobile App Development, MAD501, Dr. Joshi, 2023
425, Lalitpur, 39, 4.8, Quantum Computing Fundamentals, QCF601, Prof. Acharya, 2021
426, Kathmandu, 16, 4.3, Robotics and Automation, RA701, Dr. Shah, 2022
427, Biratnagar, 24, 4.6, Introduction to 5G Technology, 5GT801, Prof. Basnet, 2023
428, Lalitpur, 29, 4.1, Game Development Basics, GDB901, Dr. Tamang, 2021
429, Bhaktapur, 31, 4.7, Virtual Reality Fundamentals, VRF101, Prof. Thapa, 2022
430, Kathmandu, 20, 4.5, Cryptocurrency Fundamentals, CF201, Dr. Lama, 2023
431, Kathmandu, 22, 4.2, Network Security Principles, NSP301, Prof. Gurung, 2021
432, Pokhara, 37, 4.9, Augmented Reality Applications, ARA401, Dr. Thapa, 2022
433, Bhaktapur, 38, 4.4, Data Science Capstone Project, DSC501, Prof. Bhattarai, 2023
434, Biratnagar, 19, 4.7, Cloud-Native Architecture, CNA601, Dr. Subedi, 2021
435, Lalitpur, 23, 4.3, Database Management Systems, DBMS701, Prof. Gautam, 2022
436, Bhaktapur, 25, 4.8, Parallel Computing Concepts, PCC901, Dr. Khadka, 2023
437, Kathmandu, 37, 4.0, Introduction to Quantum Cryptography, QC101, Prof. Shrestha, 2021
438, Kathmandu, 38, 4.5, Artificial Intelligence for Healthcare, AIH201, Dr. Joshi, 2022
439, Pokhara, 18, 4.9, Data Privacy and Security, DPS301, Prof. Acharya, 2023
440, Bhaktapur, 26, 4.4, Cloud-Native Development, CND401, Dr. Shah, 2021
441, Biratnagar, 30, 4.7, Embedded Systems Design, ESD501, Prof. Basnet, 2022
442, Lalitpur, 35, 4.2, Quantum Machine Learning, QML601, Dr. Tamang, 2023
443, Bhaktapur, 32, 4.6, Human-Computer Interaction, HCI701, Prof. Thapa, 2021
444, Kathmandu, 22, 4.3, Cyber-Physical Systems, CPS901, Dr. Lama, 2022
445, Kathmandu, 18, 4.2, Introduction to Data Science, DS101, Dr. Lama, 2023
446, Kathmandu, 23, 4.5, Python Programming for Beginners, PY201, Prof. Gurung, 2022
447, Pokhara, 28, 4.7, Data Analysis with Python, DA301, Dr. Thapa, 2021
448, Nepalgunj, 32, 4.0, Machine Learning Applications, ML401, Prof. Bhattarai, 2022
449, Biratnagar, 24, 4.8, Web Development with JavaScript, WD501, Dr. Subedi, 2023
450, Lalitpur, 26, 4.6, Introduction to Cybersecurity, CS601, Prof. Gautam, 2021
451, Bhaktapur, 29, 4.3, Deep Learning Fundamentals, DL701, Dr. Khadka, 2022
452, Kathmandu, 17, 4.6, Artificial Intelligence Ethics, AI801, Prof. Shrestha, 2023
453, Kathmandu, 22, 4.1, Natural Language Processing, NLP901, Dr. Joshi, 2021
454, Pokhara, 30, 4.9, Computer Vision Basics, CV1001, Prof. Acharya, 2022
455, Bhaktapur, 35, 4.4, Introduction to Blockchain, BC101, Dr. Shah, 2023
456, Biratnagar, 19, 4.7, Introduction to Cloud Computing, CC201, Prof. Basnet, 2021
457, Lalitpur, 21, 4.5, Data Mining Techniques, DM301, Dr. Tamang, 2022
458, Bhaktapur, 27, 4.2, Internet of Things Fundamentals, IoT401, Prof. Thapa, 2023
459, Kathmandu, 36, 4.8, Software Engineering Principles, SE501, Dr. Lama, 2021
460, Kathmandu, 37, 4.3, Big Data Analytics, BDA601, Prof. Gurung, 2022
461, Pokhara, 31, 4.6, Cloud Security Fundamentals, CSF701, Dr. Thapa, 2023
462, Bhaktapur, 38, 4.0, DevOps Essentials, DO901, Prof. Bhattarai, 2021
463, Biratnagar, 33, 4.5, UX/UI Design Principles, UXD101, Dr. Subedi, 2022
464, Lalitpur, 20, 4.2, Agile Methodologies, AM201, Prof. Gautam, 2023
465, Bhaktapur, 25, 4.7, Data Warehousing Concepts, DWC301, Dr. Khadka, 2021
466, Kathmandu, 28, 4.9, Ethical Hacking Techniques, EHT401, Prof. Shrestha, 2022
467, Pokhara, 34, 4.4, Mobile App Development, MAD501, Dr. Joshi, 2023
468, Lalitpur, 39, 4.8, Quantum Computing Fundamentals, QCF601, Prof. Acharya, 2021
469, Kathmandu, 16, 4.3, Robotics and Automation, RA701, Dr. Shah, 2022
470, Biratnagar, 24, 4.6, Introduction to 5G Technology, 5GT801, Prof. Basnet, 2023
471, Lalitpur, 29, 4.1, Game Development Basics, GDB901, Dr. Tamang, 2021
472, Bhaktapur, 31, 4.7, Virtual Reality Fundamentals, VRF101, Prof. Thapa, 2022
473, Kathmandu, 20, 4.5, Cryptocurrency Fundamentals, CF201, Dr. Lama, 2023
474, Kathmandu, 22, 4.2, Network Security Principles, NSP301, Prof. Gurung, 2021
475, Pokhara, 37, 4.9, Augmented Reality Applications, ARA401, Dr. Thapa, 2022
476, Bhaktapur, 38, 4.4, Data Science Capstone Project, DSC501, Prof. Bhattarai, 2023
477, Biratnagar, 19, 4.7, Cloud-Native Architecture, CNA601, Dr. Subedi, 2021
478, Lalitpur, 23, 4.3, Database Management Systems, DBMS701, Prof. Gautam, 2022
479, Bhaktapur, 25, 4.8, Parallel Computing Concepts, PCC901, Dr. Khadka, 2023
480, Kathmandu, 37, 4.0, Introduction to Quantum Cryptography, QC101, Prof. Shrestha, 2021
481, Kathmandu, 38, 4.5, Artificial Intelligence for Healthcare, AIH201, Dr. Joshi, 2022
482, Pokhara, 18, 4.9, Data Privacy and Security, DPS301, Prof. Acharya, 2023
483, Bhaktapur, 26, 4.4, Cloud-Native Development, CND401, Dr. Shah, 2021
484, Biratnagar, 30, 4.7, Embedded Systems Design, ESD501, Prof. Basnet, 2022
485, Lalitpur, 35, 4.2, Quantum Machine Learning, QML601, Dr. Tamang, 2023
486, Bhaktapur, 32, 4.6, Human-Computer Interaction, HCI701, Prof. Thapa, 2021
487, Kathmandu, 22, 4.3, Cyber-Physical Systems, CPS901, Dr. Lama, 2022
488, Kathmandu, 18, 4.2, Introduction to Data Science, DS101, Dr. Lama, 2023
489, Kathmandu, 23, 4.5, Python Programming for Beginners, PY201, Prof. Gurung, 2022
490, Pokhara, 28, 4.7, Data Analysis with Python, DA301, Dr. Thapa, 2021
491, Nepalgunj, 32, 4.0, Machine Learning Applications, ML401, Prof. Bhattarai, 2022
492, Biratnagar, 24, 4.8, Web Development with JavaScript, WD501, Dr. Subedi, 2023
493, Lalitpur, 26, 4.6, Introduction to Cybersecurity, CS601, Prof. Gautam, 2021
494, Bhaktapur, 29, 4.3, Deep Learning Fundamentals, DL701, Dr. Khadka, 2022
495, Kathmandu, 17, 4.6, Artificial Intelligence Ethics, AI801, Prof. Shrestha, 2023
496, Kathmandu, 22, 4.1, Natural Language Processing, NLP901, Dr. Joshi, 2021
497, Pokhara, 30, 4.9, Computer Vision Basics, CV1001, Prof. Acharya, 2022
498, Bhaktapur, 35, 4.4, Introduction to Blockchain, BC101, Dr. Shah, 2023
499, Biratnagar, 19, 4.7, Introduction to Cloud Computing, CC201, Prof. Basnet, 2021
500, Lalitpur, 21, 4.5, Data Mining Techniques, DM301, Dr. Tamang, 2022
501, Bhaktapur, 27, 4.2, Internet of Things Fundamentals, IoT401, Prof. Thapa, 2023
502, Kathmandu, 36, 4.8, Software Engineering Principles, SE501, Dr. Lama, 2021
503, Kathmandu, 37, 4.3, Big Data Analytics, BDA601, Prof. Gurung, 2022
504, Pokhara, 31, 4.6, Cloud Security Fundamentals, CSF701, Dr. Thapa, 2023
505, Bhaktapur, 38, 4.0, DevOps Essentials, DO901, Prof. Bhattarai, 2021
506, Biratnagar, 33, 4.5, UX/UI Design Principles, UXD101, Dr. Subedi, 2022
